imageFilename,building_1,person_1,vehicle_1,weapon_1
90.jpg,-1,270,-1,-1
91.jpg,-1,33,-1,-1
92.jpg,290,541,-1,-1
93.jpg,-1,236,-1,-1
94.jpg,-1,1,-1,-1
95.jpg,-1,141,-1,-1
96.jpg,-1,587,-1,-1
97.jpg,-1,38,-1,-1
98.jpg,-1,298,-1,282
99.jpg,-1,329,-1,-1
100.jpg,-1,50,-1,-1
101.jpg,-1,487,-1,-1
102.jpg,-1,466,-1,-1
103.jpg,-1,125,-1,-1
104.jpg,-1,122,-1,-1
105.jpg,-1,174,-1,-1
106.jpg,-1,173,-1,211
107.jpg,-1,466,-1,-1
108.jpg,-1,53,-1,-1
109.jpg,-1,229,-1,-1
110.jpg,-1,524,-1,-1
111.jpg,-1,353,-1,-1
112.jpg,-1,-1,-1,417
113.jpg,-1,187,-1,152
114.jpg,-1,435,-1,71
115.jpg,-1,199,153,-1
116.jpg,-1,176,-1,-1
117.jpg,-1,367,-1,-1
118.jpg,-1,378,-1,-1
119.jpg,-1,166,-1,-1
120.jpg,-1,285,-1,-1
121.jpg,-1,187,-1,-1
122.jpg,332,451,-1,-1
123.jpg,-1,41,-1,202
124.jpg,-1,94,-1,295
125.jpg,-1,114,-1,132
126.jpg,-1,42,-1,141
127.jpg,-1,85,-1,300
128.jpg,-1,246,-1,-1
129.jpg,-1,177,-1,-1
130.jpg,-1,256,-1,-1
131.jpg,-1,-1,-1,17
132.jpg,-1,307,-1,26
133.jpg,-1,-1,-1,475
134.jpg,-1,48,583,-1
135.jpg,-1,70,-1,29
136.jpg,-1,296,-1,-1
137.jpg,-1,60,-1,186
138.jpg,-1,54,-1,71
139.jpg,-1,33,-1,-1
140.jpg,-1,397,-1,-1
141.jpg,-1,303,-1,330
142.jpg,-1,243,-1,-1
143.jpg,-1,37,-1,215
144.jpg,-1,416,-1,69
145.jpg,-1,-1,-1,454
146.jpg,-1,73,-1,-1
147.jpg,218,276,-1,-1
148.jpg,-1,136,-1,-1
149.jpg,-1,196,-1,-1
150.jpg,-1,242,-1,-1
151.jpg,-1,282,-1,300
152.jpg,-1,288,-1,-1
153.jpg,258,338,-1,-1
154.jpg,-1,40,-1,-1
155.jpg,-1,250,-1,-1
156.jpg,-1,496,-1,-1
157.jpg,-1,289,-1,-1
158.jpg,-1,5,-1,158
159.jpg,-1,170,-1,-1
160.jpg,-1,47,-1,-1
161.jpg,-1,567,-1,-1
162.jpg,347,462,-1,-1
163.jpg,-1,540,-1,-1
164.jpg,-1,314,-1,-1
165.jpg,-1,45,-1,-1
166.jpg,7,302,-1,-1
167.jpg,-1,23,-1,-1
168.jpg,115,310,-1,-1
169.jpg,-1,110,-1,-1
170.jpg,-1,333,-1,445
171.jpg,-1,441,-1,-1
172.jpg,-1,517,-1,-1
173.jpg,-1,289,-1,-1
174.jpg,-1,268,-1,-1
175.jpg,-1,199,-1,-1
176.jpg,-1,717,-1,533
177.jpg,14,679,-1,825
178.jpg,-1,323,-1,-1
179.jpg,-1,514,-1,537
180.jpg,-1,90,-1,-1
181.jpg,-1,108,-1,-1
182.jpg,-1,197,-1,-1
183.jpg,-1,159,-1,-1
184.jpg,-1,294,-1,-1
185.jpg,-1,411,-1,81
186.jpg,-1,48,-1,324
187.jpg,-1,26,-1,-1
188.jpg,417,222,567,-1
189.jpg,-1,12,-1,-1
190.jpg,-1,461,-1,412
191.jpg,-1,355,-1,-1
192.jpg,76,6,-1,-1
193.jpg,-1,86,-1,154
194.jpg,-1,199,-1,-1
195.jpg,-1,110,-1,-1
196.jpg,-1,128,-1,-1
197.jpg,-1,54,-1,-1
198.jpg,-1,386,-1,-1
199.jpg,-1,279,-1,-1
200.jpg,-1,103,-1,-1
201.jpg,-1,322,-1,-1
202.jpg,-1,193,-1,-1
203.jpg,4,-1,-1,-1
204.jpg,-1,232,-1,300
205.jpg,-1,198,-1,-1
206.jpg,-1,183,89,-1
207.jpg,-1,116,-1,-1
208.jpg,-1,343,-1,-1
209.jpg,-1,519,-1,-1
210.jpg,-1,302,-1,-1
211.jpg,-1,125,-1,-1
212.jpg,430,77,-1,-1
213.jpg,-1,185,-1,-1
214.jpg,-1,193,-1,329
215.jpg,-1,249,-1,-1
216.jpg,465,116,-1,-1
217.jpg,-1,20,-1,-1
218.jpg,-1,11,-1,-1
219.jpg,-1,245,-1,-1
220.jpg,-1,5,-1,-1
221.jpg,-1,71,-1,132
222.jpg,-1,259,-1,-1
223.jpg,-1,197,-1,222
224.jpg,1,-1,468,-1
225.jpg,-1,411,512,-1
226.jpg,155,-1,-1,-1
227.jpg,6,-1,-1,-1
228.jpg,-1,113,-1,273
229.jpg,-1,392,-1,-1
230.jpg,-1,289,-1,-1
231.jpg,170,17,-1,-1
232.jpg,6,303,-1,-1
233.jpg,-1,26,-1,-1
234.jpg,-1,398,-1,-1
235.jpg,-1,290,-1,-1
236.jpg,-1,952,-1,1690
237.jpg,-1,469,-1,-1
238.jpg,-1,68,-1,269
239.jpg,-1,258,-1,-1
240.jpg,-1,152,-1,-1
241.jpg,-1,537,-1,-1
242.jpg,-1,153,-1,-1
243.jpg,-1,195,-1,218
244.jpg,-1,203,-1,-1
245.jpg,-1,291,-1,-1
246.jpg,-1,51,-1,-1
247.jpg,-1,29,-1,17
248.jpg,-1,400,-1,-1
249.jpg,-1,56,-1,-1
250.jpg,-1,8,-1,123
251.jpg,-1,291,-1,-1
252.jpg,-1,-1,30,-1
253.jpg,-1,73,-1,-1
254.jpg,-1,117,-1,216
255.jpg,-1,258,-1,438
256.jpg,-1,349,-1,-1
257.jpg,-1,25,-1,-1
258.jpg,-1,133,-1,-1
259.jpg,-1,45,-1,138
260.jpg,-1,28,-1,-1
261.jpg,334,289,-1,-1
262.jpg,-1,195,-1,-1
263.jpg,-1,237,-1,-1
264.jpg,-1,86,-1,-1
265.jpg,55,263,-1,-1
266.jpg,340,215,-1,549
267.jpg,-1,13,-1,-1
268.jpg,-1,353,-1,-1
269.jpg,103,532,-1,-1
270.jpg,-1,119,-1,185
271.jpg,-1,93,-1,-1
272.jpg,6,96,-1,166
273.jpg,-1,6,-1,1
274.jpg,6,11,-1,-1
275.jpg,-1,460,-1,-1
276.jpg,-1,125,-1,-1
277.jpg,-1,218,-1,-1
278.jpg,-1,351,-1,-1
279.jpg,-1,307,-1,-1
280.jpg,-1,490,-1,505
281.jpg,-1,18,-1,-1
282.jpg,-1,278,2,147
283.jpg,-1,378,-1,-1
284.jpg,-1,115,-1,-1
285.jpg,-1,564,-1,-1
286.jpg,-1,258,-1,-1
287.jpg,-1,44,-1,100
288.jpg,-1,58,-1,-1
289.jpg,-1,224,-1,-1
290.jpg,48,322,-1,-1
291.jpg,-1,95,-1,-1
292.jpg,-1,342,-1,-1
293.jpg,-1,183,-1,-1
294.jpg,-1,339,-1,18
295.jpg,-1,50,-1,-1
296.jpg,-1,276,-1,-1
297.jpg,-1,234,-1,-1
298.jpg,-1,258,-1,-1
299.jpg,-1,287,-1,-1
300.jpg,-1,130,-1,178
301.jpg,-1,372,-1,485
302.jpg,-1,134,-1,-1
303.jpg,-1,11,-1,67
304.jpg,-1,246,-1,-1
305.jpg,-1,154,-1,5
306.jpg,-1,157,-1,-1
307.jpg,-1,300,-1,-1
308.jpg,82,346,-1,-1
309.jpg,478,-1,-1,-1
310.jpg,-1,188,-1,-1
311.jpg,-1,276,-1,-1
312.jpg,-1,171,-1,151
313.jpg,469,26,6,58
314.jpg,-1,48,-1,-1
315.jpg,-1,259,-1,-1
316.jpg,503,84,-1,-1
317.jpg,-1,63,-1,-1
318.jpg,-1,39,-1,-1
319.jpg,-1,365,-1,-1
320.jpg,-1,90,-1,-1
321.jpg,-1,260,-1,267
322.jpg,-1,326,-1,56
323.jpg,-1,259,-1,-1
324.jpg,332,272,396,183
325.jpg,-1,354,86,-1
326.jpg,-1,48,-1,-1
327.jpg,-1,179,-1,-1
328.jpg,-1,2,-1,-1
329.jpg,-1,24,94,-1
330.jpg,92,321,-1,-1
331.jpg,-1,19,-1,-1
332.jpg,-1,245,-1,-1
333.jpg,-1,315,-1,-1
334.jpg,-1,121,-1,-1
335.jpg,-1,1,-1,-1
336.jpg,-1,1,-1,-1
337.jpg,-1,418,-1,-1
338.jpg,-1,360,-1,-1
339.jpg,-1,485,-1,93
340.jpg,-1,154,-1,-1
341.jpg,-1,95,-1,-1
342.jpg,-1,306,-1,-1
343.jpg,-1,291,-1,-1
344.jpg,-1,364,-1,367
345.jpg,-1,-1,-1,49
346.jpg,-1,212,-1,-1
347.jpg,-1,266,-1,-1
348.jpg,-1,97,-1,-1
349.jpg,-1,225,-1,-1
350.jpg,-1,383,-1,-1
351.jpg,-1,435,-1,-1
352.jpg,-1,265,-1,-1
353.jpg,-1,172,-1,-1
354.jpg,-1,281,-1,-1
355.jpg,-1,430,-1,-1
356.jpg,-1,333,-1,81
357.jpg,19,437,-1,-1
358.jpg,-1,290,-1,-1
359.jpg,-1,388,-1,-1
360.jpg,-1,213,-1,-1
361.jpg,-1,282,-1,-1
362.jpg,-1,481,-1,-1
363.jpg,-1,149,-1,56
364.jpg,-1,30,-1,-1
365.jpg,-1,220,-1,-1
366.jpg,-1,135,-1,-1
367.jpg,-1,317,-1,185
368.jpg,-1,393,-1,-1
369.jpg,-1,203,-1,-1
370.jpg,-1,409,-1,-1
371.jpg,-1,220,-1,-1
372.jpg,-1,510,-1,-1
373.jpg,-1,193,-1,-1
374.jpg,-1,275,-1,37
375.jpg,-1,239,-1,192
376.jpg,-1,299,-1,-1
377.jpg,-1,320,-1,-1
378.jpg,-1,363,-1,332
379.jpg,-1,152,-1,-1
380.jpg,-1,54,-1,-1
381.jpg,-1,249,-1,-1
382.jpg,-1,266,-1,-1
383.jpg,-1,133,-1,-1
384.jpg,-1,358,-1,-1
385.jpg,-1,293,-1,-1
386.jpg,-1,351,-1,-1
387.jpg,-1,508,-1,-1
388.jpg,-1,285,-1,-1
389.jpg,-1,71,-1,-1
390.jpg,152,294,-1,-1
391.jpg,-1,100,-1,-1
392.jpg,-1,320,-1,-1
393.jpg,-1,502,-1,-1
394.jpg,-1,238,-1,-1
395.jpg,-1,45,-1,84
396.jpg,-1,1,-1,-1
397.jpg,-1,44,-1,-1
398.jpg,-1,642,-1,412
399.jpg,-1,171,-1,-1
400.jpg,-1,281,-1,274
401.jpg,-1,429,-1,-1
402.jpg,-1,400,-1,-1
403.jpg,-1,200,-1,-1
404.jpg,-1,7,-1,-1
405.jpg,-1,114,-1,-1
406.jpg,-1,151,-1,152
407.jpg,-1,59,-1,-1
408.jpg,-1,367,-1,-1
409.jpg,-1,270,-1,-1
410.jpg,-1,516,-1,-1
411.jpg,-1,390,-1,-1
412.jpg,-1,284,-1,-1
413.jpg,-1,10,-1,-1
414.jpg,-1,84,-1,-1
415.jpg,-1,267,-1,-1
416.jpg,-1,146,-1,-1
417.jpg,-1,235,-1,-1
418.jpg,101,-1,-1,-1
419.jpg,-1,361,-1,-1
420.jpg,-1,24,-1,-1
421.jpg,-1,114,-1,-1
422.jpg,-1,369,-1,-1
423.jpg,397,324,-1,-1
424.jpg,-1,500,-1,-1
425.jpg,-1,15,-1,8
426.jpg,133,320,-1,-1
427.jpg,-1,103,-1,-1
428.jpg,-1,462,-1,-1
429.jpg,-1,274,-1,199
430.jpg,-1,292,-1,-1
431.jpg,-1,431,-1,-1
432.jpg,-1,8,-1,-1
433.jpg,-1,7,-1,-1
434.jpg,-1,745,-1,863
435.jpg,-1,264,-1,-1
436.jpg,-1,213,-1,-1
437.jpg,-1,198,-1,-1
438.jpg,-1,201,-1,-1
439.jpg,-1,220,-1,261
440.jpg,12,-1,-1,-1
441.jpg,803,208,-1,-1
442.jpg,-1,78,-1,-1
443.jpg,-1,142,-1,-1
444.jpg,104,435,300,461
445.jpg,-1,94,-1,-1
446.jpg,-1,409,-1,-1
447.jpg,-1,205,-1,-1
448.jpg,-1,248,-1,-1
449.jpg,-1,309,-1,-1
450.jpg,70,281,-1,273
451.jpg,-1,170,-1,-1
452.jpg,-1,409,-1,-1
453.jpg,-1,357,-1,-1
454.jpg,18,-1,-1,-1
455.jpg,53,93,-1,-1
456.jpg,-1,137,-1,-1
457.jpg,-1,212,-1,-1
458.jpg,157,-1,-1,-1
459.jpg,469,244,-1,-1
460.jpg,-1,237,-1,270
461.jpg,-1,93,-1,-1
462.jpg,-1,371,-1,-1
463.jpg,-1,163,-1,204
464.jpg,10,434,-1,-1
465.jpg,-1,287,-1,-1
466.jpg,-1,259,-1,-1
467.jpg,-1,153,-1,-1
468.jpg,51,326,-1,-1
469.jpg,-1,10,-1,-1
470.jpg,-1,11,-1,106
471.jpg,379,-1,-1,210
472.jpg,-1,22,-1,-1
473.jpg,-1,529,-1,-1
474.jpg,-1,607,-1,433
475.jpg,-1,20,-1,210
476.jpg,-1,283,-1,11
477.jpg,-1,41,-1,-1
478.jpg,-1,159,-1,-1
479.jpg,-1,165,-1,368
480.jpg,-1,530,1,151
481.jpg,-1,253,-1,-1
482.jpg,459,284,-1,-1
483.jpg,-1,112,-1,188
484.jpg,-1,205,-1,-1
485.jpg,-1,41,-1,-1
486.jpg,-1,31,-1,-1
487.jpg,10,267,-1,-1
488.jpg,-1,199,-1,-1
489.jpg,-1,207,-1,-1
490.jpg,-1,141,-1,-1
491.jpg,-1,192,-1,-1
492.jpg,-1,83,-1,-1
493.jpg,-1,200,-1,-1
494.jpg,-1,399,-1,258
495.jpg,-1,175,-1,-1
496.jpg,-1,35,-1,-1
497.jpg,-1,221,-1,-1
498.jpg,-1,221,-1,-1
499.jpg,-1,207,-1,-1
500.jpg,-1,259,-1,-1
501.jpg,-1,125,-1,153
502.jpg,-1,278,-1,-1
503.jpg,535,346,8,-1
504.jpg,-1,326,-1,-1
505.jpg,-1,495,-1,-1
506.jpg,-1,363,-1,-1
507.jpg,-1,66,-1,-1
508.jpg,1,406,-1,-1
509.jpg,-1,106,-1,-1
510.jpg,-1,205,-1,194
511.jpg,-1,534,-1,-1
512.jpg,-1,318,-1,-1
513.jpg,2,-1,-1,-1
514.jpg,-1,380,-1,-1
515.jpg,-1,213,-1,-1
516.jpg,-1,100,-1,-1
517.jpg,-1,110,-1,80
518.jpg,-1,8,-1,-1
519.jpg,-1,221,-1,249
520.jpg,-1,124,-1,119
521.jpg,-1,46,-1,-1
522.jpg,-1,396,-1,-1
523.jpg,-1,239,-1,-1
524.jpg,-1,297,-1,-1
525.jpg,-1,189,-1,-1
526.jpg,-1,258,-1,-1
527.jpg,776,8,279,-1
528.jpg,-1,184,-1,-1
529.jpg,-1,321,-1,-1
530.jpg,-1,9,-1,-1
531.jpg,-1,286,-1,-1
532.jpg,-1,26,-1,-1
533.jpg,-1,413,-1,-1
534.jpg,4,276,487,-1
535.jpg,-1,223,249,-1
536.jpg,-1,277,-1,-1
537.jpg,-1,315,-1,-1
538.jpg,-1,79,-1,-1
539.jpg,-1,51,-1,-1
540.jpg,-1,256,-1,-1
541.jpg,-1,341,-1,351
542.jpg,-1,267,-1,-1
543.jpg,-1,152,-1,224
544.jpg,105,1,-1,452
545.jpg,-1,398,-1,-1
546.jpg,-1,187,-1,-1
547.jpg,-1,99,-1,-1
548.jpg,-1,177,-1,-1
549.jpg,-1,6,-1,76
550.jpg,-1,199,-1,30
551.jpg,17,410,-1,-1
552.jpg,-1,317,-1,-1
553.jpg,112,-1,-1,-1
554.jpg,-1,172,-1,-1
555.jpg,-1,326,-1,-1
556.jpg,-1,433,-1,-1
557.jpg,-1,171,-1,-1
558.jpg,-1,256,-1,-1
559.jpg,-1,294,-1,-1
560.jpg,-1,85,-1,1
561.jpg,-1,51,88,-1
562.jpg,-1,370,36,-1
563.jpg,368,317,-1,-1
564.jpg,506,608,-1,158
565.jpg,-1,37,-1,-1
566.jpg,-1,53,-1,-1
567.jpg,-1,169,-1,382
568.jpg,-1,304,-1,-1
569.jpg,4,97,-1,-1
570.jpg,-1,261,-1,-1
571.jpg,312,22,-1,143
572.jpg,-1,263,-1,-1
573.jpg,-1,313,-1,-1
574.jpg,-1,44,-1,-1
575.jpg,-1,68,-1,185
576.jpg,-1,84,-1,-1
577.jpg,-1,220,-1,166
578.jpg,12,350,-1,-1
579.jpg,-1,64,-1,69
580.jpg,-1,80,-1,345
581.jpg,-1,348,-1,-1
582.jpg,-1,237,-1,-1
583.jpg,-1,98,20,-1
584.jpg,-1,326,-1,2
585.jpg,-1,22,-1,-1
586.jpg,-1,30,506,-1
587.jpg,-1,275,-1,-1
588.jpg,-1,204,-1,-1
589.jpg,-1,380,-1,-1
590.jpg,-1,143,-1,-1
591.jpg,-1,486,-1,-1
592.jpg,-1,315,-1,-1
593.jpg,1,181,-1,254
594.jpg,-1,60,-1,-1
595.jpg,-1,453,-1,-1
596.jpg,-1,346,-1,-1
597.jpg,-1,471,-1,-1
598.jpg,-1,268,-1,83
599.jpg,-1,177,-1,-1
600.jpg,114,257,-1,-1
601.jpg,-1,190,-1,-1
602.jpg,6,273,-1,-1
603.jpg,-1,234,-1,-1
604.jpg,-1,280,-1,-1
605.jpg,-1,43,-1,262
606.jpg,-1,257,-1,362
607.jpg,377,211,519,-1
608.jpg,-1,1,-1,-1
609.jpg,45,437,-1,-1
610.jpg,-1,228,-1,-1
611.jpg,-1,558,-1,-1
612.jpg,-1,122,-1,-1
613.jpg,38,201,-1,-1
614.jpg,94,-1,-1,-1
615.jpg,-1,267,-1,291
616.jpg,246,493,1,-1
617.jpg,-1,184,-1,246
618.jpg,-1,18,-1,-1
619.jpg,-1,103,-1,-1
620.jpg,-1,226,-1,-1
621.jpg,-1,373,-1,-1
622.jpg,-1,119,-1,-1
623.jpg,-1,561,-1,89
624.jpg,-1,3,-1,-1
625.jpg,-1,443,-1,-1
626.jpg,-1,421,-1,-1
627.jpg,-1,1,-1,-1
628.jpg,-1,549,-1,-1
629.jpg,-1,958,-1,-1
630.jpg,4,107,-1,-1
631.jpg,1,501,-1,-1
632.jpg,-1,322,77,-1
633.jpg,-1,215,-1,-1
634.jpg,-1,-1,436,-1
635.jpg,94,299,-1,-1
636.jpg,-1,262,-1,-1
637.jpg,5,18,-1,-1
638.jpg,-1,106,-1,-1
639.jpg,-1,66,-1,-1
640.jpg,-1,209,-1,-1
641.jpg,-1,148,-1,-1
642.jpg,-1,272,-1,-1
643.jpg,-1,289,-1,-1
644.jpg,-1,262,-1,-1
645.jpg,-1,527,-1,-1
646.jpg,-1,263,-1,-1
647.jpg,-1,210,-1,-1
648.jpg,-1,399,-1,-1
649.jpg,-1,193,-1,281
650.jpg,-1,83,-1,-1
651.jpg,-1,211,357,300
652.jpg,151,257,-1,-1
653.jpg,-1,385,-1,-1
654.jpg,-1,173,-1,-1
655.jpg,-1,44,-1,-1
656.jpg,-1,245,-1,-1
657.jpg,-1,338,-1,-1
658.jpg,-1,27,-1,-1
659.jpg,-1,309,-1,-1
660.jpg,-1,361,-1,-1
661.jpg,-1,402,-1,452
662.jpg,-1,216,-1,-1
663.jpg,5,256,-1,300
664.jpg,-1,417,-1,517
665.jpg,-1,179,-1,-1
666.jpg,-1,166,-1,-1
667.jpg,-1,27,-1,-1
668.jpg,-1,271,-1,-1
669.jpg,-1,273,-1,-1
670.jpg,-1,189,-1,-1
671.jpg,-1,-1,-1,183
672.jpg,-1,407,-1,-1
673.jpg,-1,261,-1,-1
674.jpg,-1,357,-1,-1
675.jpg,96,466,-1,-1
676.jpg,-1,86,-1,-1
677.jpg,-1,197,-1,-1
678.jpg,-1,52,-1,-1
679.jpg,-1,114,-1,123
680.jpg,-1,306,-1,353
681.jpg,-1,-1,-1,296
682.jpg,-1,-1,53,361
683.jpg,-1,8,-1,-1
684.jpg,313,331,-1,-1
685.jpg,1,321,-1,-1
686.jpg,-1,48,-1,-1
687.jpg,-1,286,-1,-1
688.jpg,-1,433,-1,-1
689.jpg,-1,68,-1,-1
690.jpg,-1,204,298,-1
691.jpg,-1,152,-1,-1
692.jpg,-1,48,-1,-1
693.jpg,-1,245,-1,439
694.jpg,-1,370,-1,-1
695.jpg,-1,314,-1,403
696.jpg,-1,255,-1,14
697.jpg,-1,-1,-1,383
698.jpg,-1,267,-1,-1
699.jpg,-1,-1,55,-1
700.jpg,-1,428,-1,312
701.jpg,-1,372,-1,-1
702.jpg,-1,2,-1,92
703.jpg,-1,43,-1,122
704.jpg,-1,6,-1,44
705.jpg,-1,1,-1,58
706.jpg,-1,50,-1,-1
707.jpg,-1,-1,-1,33
708.jpg,-1,1,-1,-1
709.jpg,-1,168,-1,19
710.jpg,-1,-1,-1,1
711.jpg,-1,-1,-1,57
712.jpg,-1,23,-1,82
713.jpg,-1,-1,-1,18
714.jpg,-1,152,-1,1
715.jpg,-1,129,-1,-1
716.jpg,-1,197,-1,35
717.jpg,-1,4,-1,92
718.jpg,-1,108,-1,194
719.jpg,-1,66,-1,-1
720.jpg,-1,1,-1,77
721.jpg,-1,17,-1,-1
722.jpg,-1,133,-1,-1
723.jpg,-1,36,-1,110
724.jpg,-1,61,-1,51
725.jpg,-1,30,-1,67
726.jpg,74,58,-1,80
727.jpg,-1,36,-1,7
728.jpg,-1,113,-1,139
729.jpg,-1,219,-1,-1
730.jpg,-1,35,-1,54
731.jpg,1,203,146,3
732.jpg,-1,99,-1,-1
733.jpg,-1,-1,-1,8
734.jpg,-1,352,-1,33
735.jpg,-1,1,-1,-1
736.jpg,-1,127,-1,26
737.jpg,-1,149,95,191
738.jpg,-1,209,-1,-1
739.jpg,-1,163,-1,19
740.jpg,76,1,-1,1
741.jpg,-1,-1,-1,1
742.jpg,-1,109,-1,147
743.jpg,-1,-1,-1,5
744.jpg,-1,104,47,131
745.jpg,-1,1,-1,71
746.jpg,-1,112,-1,39
747.jpg,-1,1,-1,86
748.jpg,-1,172,-1,-1
749.jpg,-1,1,-1,43
750.jpg,-1,-1,-1,8
751.jpg,-1,28,-1,120
752.jpg,-1,147,-1,18
753.jpg,-1,15,-1,19
754.jpg,-1,139,-1,56
755.jpg,-1,11,-1,33
756.jpg,-1,116,-1,-1
757.jpg,-1,36,-1,-1
758.jpg,2,63,-1,33
759.jpg,-1,1,-1,-1
760.jpg,195,8,-1,75
761.jpg,-1,37,-1,95
762.jpg,-1,34,-1,83
763.jpg,-1,-1,-1,3
764.jpg,2,-1,1,-1
765.jpg,-1,138,1,-1
766.jpg,-1,1,-1,28
767.jpg,3,233,38,181
768.jpg,-1,73,-1,74
769.jpg,173,1,-1,44
770.jpg,-1,143,-1,39
771.jpg,-1,1,-1,87
772.jpg,-1,44,-1,-1
773.jpg,-1,97,-1,-1
774.jpg,-1,60,-1,-1
775.jpg,-1,8,-1,41
776.jpg,-1,72,-1,-1
777.jpg,-1,3,142,-1
778.jpg,-1,220,-1,142
779.jpg,-1,82,-1,-1
780.jpg,-1,-1,-1,19
781.jpg,-1,19,-1,103
782.jpg,101,1,-1,46
783.jpg,-1,29,-1,-1
784.jpg,-1,195,-1,-1
785.jpg,-1,1,-1,65
786.jpg,-1,-1,-1,8
787.jpg,-1,15,-1,124
788.jpg,-1,48,-1,140
789.jpg,-1,137,-1,33
790.jpg,-1,212,-1,128
791.jpg,-1,141,-1,-1
792.jpg,-1,129,-1,-1
793.jpg,-1,127,-1,111
794.jpg,-1,20,-1,-1
795.jpg,5,177,100,-1
796.jpg,-1,1,-1,91
797.jpg,-1,145,-1,29
798.jpg,-1,-1,-1,5
799.jpg,-1,1,-1,81
800.jpg,-1,37,-1,-1
801.jpg,-1,11,-1,-1
802.jpg,-1,49,-1,111
803.jpg,-1,31,-1,-1
804.jpg,-1,30,-1,36
805.jpg,-1,-1,-1,1
806.jpg,-1,142,-1,75
807.jpg,-1,197,-1,71
808.jpg,-1,65,-1,99
809.jpg,-1,14,-1,-1
810.jpg,-1,160,-1,39
811.jpg,-1,137,-1,-1
812.jpg,-1,1,-1,54
813.jpg,-1,53,-1,-1
814.jpg,-1,70,-1,145
815.jpg,-1,1,-1,7
816.jpg,247,44,-1,-1
817.jpg,-1,113,-1,81
818.jpg,128,76,-1,-1
819.jpg,-1,95,-1,114
820.jpg,-1,-1,39,-1
821.jpg,-1,49,-1,22
822.jpg,-1,144,-1,8
823.jpg,-1,-1,-1,6
824.jpg,-1,-1,-1,6
825.jpg,-1,32,-1,-1
826.jpg,-1,3,-1,116
827.jpg,-1,7,-1,-1
828.jpg,-1,14,-1,137
829.jpg,-1,-1,-1,25
830.jpg,-1,64,-1,189
831.jpg,-1,29,-1,-1
832.jpg,-1,104,-1,154
833.jpg,-1,32,-1,80
834.jpg,-1,41,-1,46
835.jpg,-1,4,-1,102
836.jpg,136,88,-1,1
837.jpg,-1,1,-1,56
838.jpg,-1,84,-1,-1
839.jpg,-1,1,-1,152
